"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC"
"64579","isoComp_00000215","geneComp_00000034","ENST00000482309.5","ABCB8","control","knockdown","ABCB8","protein_coding","nonsense_mediated_decay",87.2060334231657,55.0435020803224,119.368564766009,3.68473246034698,9.99492188376835,1.11663756915827,NA,12.721527153417,5.27122038344616,20.1718339233879,0.269179101522647,0.479255877470015,1.93411402718086,NA,0.133175,0.09585,0.1705,0.07465,0.502638837841491,7.45010472257139e-08,TRUE
"58151","isoComp_00000633","geneComp_00000103","ENST00000511227.5","ACAD9","control","knockdown","ACAD9","protein_coding","nonsense_mediated_decay",50.829150912293,37.9134726791706,63.7448291454155,0.23875618138263,2.62426400533986,0.749443544969448,NA,13.6298677899783,7.99392813825865,19.265807441698,2.38685797324074,6.06075239117632,1.26801117481172,NA,0.255025,0.21125,0.2988,0.08755,0.669854869306195,0.000691948734331013,TRUE
"58155","isoComp_00000637","geneComp_00000103","ENST00000679431.1","ACAD9","control","knockdown","ACAD9","protein_coding","nonsense_mediated_decay",50.829150912293,37.9134726791706,63.7448291454155,0.23875618138263,2.62426400533986,0.749443544969448,NA,8.25080190852299,1.0045698002621,15.4970340167839,1.00447355114561,0.750940274425154,3.93398274487151,NA,0.135175,0.02635,0.244,0.21765,0.000691948734331013,0.000691948734331013,TRUE
"58167","isoComp_00000649","geneComp_00000103","ENST00000681585.1","ACAD9","control","knockdown","ACAD9","protein_coding","nonsense_mediated_decay",50.829150912293,37.9134726791706,63.7448291454155,0.23875618138263,2.62426400533986,0.749443544969448,NA,6.34765105427537,10.4583891548347,2.23691295371603,0.443489011400182,0.839932439323678,-2.22002332150097,NA,0.1557,0.27575,0.03565,-0.2401,0.0013968014102462,0.000691948734331013,TRUE
"12806","isoComp_00000891","geneComp_00000136","ENST00000461272.5","ACOT8","control","knockdown","ACOT8","protein_coding","nonsense_mediated_decay",76.8227305422892,39.1786048353985,114.46685624918,7.04428782257939,5.89743132930862,1.54654984141594,NA,39.6624140560166,1.30415790662603,78.0206702054071,0.196078009632269,0.589528221366002,5.89183074877918,NA,0.3586,0.0335,0.6837,0.6502,1.68269443251411e-14,1.68269443251411e-14,TRUE
"12811","isoComp_00000896","geneComp_00000136","ENST00000488679.5","ACOT8","control","knockdown","ACOT8","protein_coding","nonsense_mediated_decay",76.8227305422892,39.1786048353985,114.46685624918,7.04428782257939,5.89743132930862,1.54654984141594,NA,7.34626586597739,5.58674779056667,9.10578394138811,0.245251667295242,4.62721360855624,0.703777994625942,NA,0.113125,0.14855,0.0777,-0.07085,0.542468643758102,1.68269443251411e-14,TRUE
"38779","isoComp_00000919","geneComp_00000141","ENST00000413140.5","ACP1","control","knockdown","ACP1","protein_coding","nonsense_mediated_decay",293.079578033936,264.136711431674,322.022444636198,7.34286333179727,7.57322134975632,0.285866597826868,NA,85.9870573720689,92.1314640175676,79.8426507265702,4.66823591510188,9.49310325344522,-0.206510221806092,NA,0.297975,0.3486,0.24735,-0.10125,0.0426805663154734,5.04350465400887e-06,TRUE
"38781","isoComp_00000921","geneComp_00000141","ENST00000453390.5","ACP1","control","knockdown","ACP1","protein_coding","nonsense_mediated_decay",293.079578033936,264.136711431674,322.022444636198,7.34286333179727,7.57322134975632,0.285866597826868,NA,20.3916524033322,16.4441628410194,24.339141965645,5.23019679797804,1.18326635529481,0.565418307839394,NA,0.068625,0.06175,0.0755,0.01375,0.847246825838252,5.04350465400887e-06,TRUE
"30462","isoComp_00001154","geneComp_00000170","ENST00000545307.6","ACTR10","control","knockdown","ACTR10","protein_coding","nonsense_mediated_decay",85.5222306790251,82.4603550728865,88.5841062851637,1.75371709863937,2.53278431163605,0.103335107764136,NA,53.596301788746,44.1186519877232,63.0739515897688,4.67720554302381,4.07420157507479,0.515557356116202,NA,0.62385,0.53645,0.71125,0.1748,0.0220609537898624,0.0220609537898624,TRUE
"30466","isoComp_00001158","geneComp_00000170","ENST00000555229.5","ACTR10","control","knockdown","ACTR10","protein_coding","nonsense_mediated_decay",85.5222306790251,82.4603550728865,88.5841062851637,1.75371709863937,2.53278431163605,0.103335107764136,NA,26.5470928793149,35.3623554602735,17.7318302983564,4.92322757727365,1.16125171803018,-0.995467442021578,NA,0.314275,0.4278,0.20075,-0.22705,0.0322331873540824,0.0220609537898624,TRUE
"73475","isoComp_00001235","geneComp_00000185","ENST00000636880.1","ACY1","control","knockdown","ACY1","protein_coding","nonsense_mediated_decay",53.4738837417686,53.2779017720366,53.6698657115006,8.21153905871994,13.8501524849755,0.0105730347740906,NA,5.28271653330162,1.69287347795749,8.87255958864574,0.674130554622996,3.01884306007832,2.38300421391666,NA,0.09805,0.03455,0.16155,0.127,0.02940466466962,0.02940466466962,TRUE
"49690","isoComp_00002509","geneComp_00000409","ENST00000458249.6","ALDH7A1","control","knockdown","ALDH7A1","protein_coding","nonsense_mediated_decay",97.5866169863457,50.0797470449218,145.09348692777,5.32424780476633,6.76799740022992,1.53449495762417,NA,60.3726672022634,38.8644978691863,81.8808365353404,8.78293770154549,7.06141544281096,1.07487798495313,NA,0.664675,0.76605,0.5633,-0.20275,0.0165891659159383,0.0165891659159383,TRUE
"49696","isoComp_00002515","geneComp_00000409","ENST00000636225.1","ALDH7A1","control","knockdown","ALDH7A1","protein_coding","nonsense_mediated_decay",97.5866169863457,50.0797470449218,145.09348692777,5.32424780476633,6.76799740022992,1.53449495762417,NA,23.4171805686657,5.75969042815653,41.0746707091749,2.0662945720609,2.95216287931242,2.83203438522703,NA,0.201775,0.1208,0.28275,0.16195,0.0315791931504307,0.0165891659159383,TRUE
"24400","isoComp_00002626","geneComp_00000426","ENST00000680488.1","ALG5","control","knockdown","ALG5","protein_coding","nonsense_mediated_decay",52.2962623437229,24.2873397293599,80.305184958086,2.12574178948463,0.687606683513728,1.72487441520587,NA,6.35241279443619,0,12.7048255888724,0,1.88089778337128,10.3122959571663,NA,0.0792,0,0.1584,0.1584,0.00278674791122592,1.54903804879999e-06,TRUE
"24402","isoComp_00002628","geneComp_00000426","ENST00000680795.1","ALG5","control","knockdown","ALG5","protein_coding","nonsense_mediated_decay",52.2962623437229,24.2873397293599,80.305184958086,2.12574178948463,0.687606683513728,1.72487441520587,NA,20.953893225077,19.0678826225952,22.8399038275588,1.94606143536977,1.2255060254502,0.260287031857308,NA,0.5342,0.7841,0.2843,-0.4998,1.54903804879999e-06,1.54903804879999e-06,TRUE
"24405","isoComp_00002631","geneComp_00000426","ENST00000681043.1","ALG5","control","knockdown","ALG5","protein_coding","nonsense_mediated_decay",52.2962623437229,24.2873397293599,80.305184958086,2.12574178948463,0.687606683513728,1.72487441520587,NA,7.53265950380369,6.06047284189871e-14,15.0653190076073,6.05751149122603e-14,5.25437636343522,10.5579728158549,NA,0.094075,0,0.18815,0.18815,0.0037746315985189,1.54903804879999e-06,TRUE
"45560","isoComp_00002652","geneComp_00000428","ENST00000526737.6","ALG8","control","knockdown","ALG8","protein_coding","nonsense_mediated_decay",250.030649373434,215.134904948858,284.926393798011,5.7078044170367,7.07612247196758,0.405331228302032,NA,33.3337879347845,29.1585842979281,37.5089915716408,6.61812578159889,3.05012121507916,0.36320568539752,NA,0.133125,0.1348,0.13145,-0.00334999999999999,0.997086295520129,2.58380147670808e-06,TRUE
"45577","isoComp_00002669","geneComp_00000428","ENST00000679697.1","ALG8","control","knockdown","ALG8","protein_coding","nonsense_mediated_decay",250.030649373434,215.134904948858,284.926393798011,5.7078044170367,7.07612247196758,0.405331228302032,NA,8.15032505513154,2.22871338338977,14.0719367268733,0.027623486916027,4.21680084609725,2.65310402471604,NA,0.0301,0.0104,0.0498,0.0394,0.0371216596875715,2.58380147670808e-06,TRUE
"45595","isoComp_00002687","geneComp_00000428","ENST00000680866.1","ALG8","control","knockdown","ALG8","protein_coding","nonsense_mediated_decay",250.030649373434,215.134904948858,284.926393798011,5.7078044170367,7.07612247196758,0.405331228302032,NA,8.34397353152915,0.0508051466276338,16.6371419164307,0.050682378988416,0.741969811799982,8.09686535202928,NA,0.02935,0.00025,0.05845,0.0582,2.58380147670808e-06,2.58380147670808e-06,TRUE
