chrom_ref,start_ref,end_ref,strand_ref,gene_id,transcript_id,gene_name,ref_gene_id
20,50096483,50096534,-,MSTRG.21153,MSTRG.21153.13,,
20,50096483,50096534,-,MSTRG.21153,ENST00000483534,UBE2V1,ENSG00000244687
20,50096483,50096534,-,MSTRG.21153,ENST00000470565,UBE2V1,ENSG00000244687
4,157145210,157145273,+,MSTRG.25835,MSTRG.25835.4,,
4,157145210,157145273,+,MSTRG.25835,MSTRG.25835.5,,
11,67432356,67432492,+,MSTRG.5855,MSTRG.5855.9,,
11,67432356,67432492,+,MSTRG.5855,ENST00000556575,RPS6KB2,ENSG00000175634
15,45171883,45172002,-,MSTRG.10902,MSTRG.10902.1,,
15,45171883,45172002,-,MSTRG.10902,MSTRG.10902.3,,
15,45171883,45172002,-,MSTRG.10902,ENST00000560540,SHF,ENSG00000138606
15,45171883,45172002,-,MSTRG.10902,ENST00000290894,SHF,ENSG00000138606
15,45171883,45172002,-,MSTRG.10902,ENST00000458022,SHF,ENSG00000138606
1,109657590,109657671,+,MSTRG.1743,ENST00000369836,GSTM4,ENSG00000168765
1,109657590,109657671,+,MSTRG.1743,MSTRG.1743.5,,
1,109657590,109657671,+,MSTRG.1743,ENST00000326729,GSTM4,ENSG00000168765
1,109657590,109657671,+,MSTRG.1743,ENST00000336075,GSTM4,ENSG00000168765
1,109657590,109657671,+,MSTRG.1743,ENST00000638994,GSTM4,ENSG00000168765
2,85350040,85350241,-,MSTRG.18961,MSTRG.18961.2,,
2,85350040,85350241,-,MSTRG.18961,MSTRG.18961.5,,
2,85350040,85350241,-,MSTRG.18961,ENST00000295802,RETSAT,ENSG00000042445
2,85350040,85350241,-,MSTRG.18961,ENST00000429806,RETSAT,ENSG00000042445
2,85350040,85350241,-,MSTRG.18961,ENST00000409984,RETSAT,ENSG00000042445
1,153688053,153688221,+,MSTRG.2201,MSTRG.2201.1,,
1,153688053,153688221,+,MSTRG.2201,ENST00000368680,NPR1,ENSG00000169418
1,153688053,153688221,+,MSTRG.2201,MSTRG.2201.3,,
1,153688053,153688221,+,MSTRG.2201,MSTRG.2201.6,,
6,37291243,37291357,+,MSTRG.28556,MSTRG.28556.1,,
6,37291243,37291357,+,MSTRG.28556,ENST00000373491,TBC1D22B,ENSG00000065491
20,49850762,49850844,+,MSTRG.21148,ENST00000417961,SLC9A8,ENSG00000197818
13,24886235,24886385,-,MSTRG.8651,MSTRG.8651.3,,
13,24886235,24886385,-,MSTRG.8651,ENST00000471870,CENPJ,ENSG00000151849
17,81713262,81713506,+,MSTRG.15434,ENST00000574129,SLC25A10,ENSG00000183048
14,49603552,49603618,+,MSTRG.9682,ENST00000554869,LRR1,ENSG00000165501
14,49603552,49603618,+,MSTRG.9682,MSTRG.9682.4,,
6,26448617,26448637,+,MSTRG.28169,MSTRG.28169.2,,
6,26448617,26448637,+,MSTRG.28169,MSTRG.28169.3,,
6,26448617,26448637,+,MSTRG.28169,ENST00000244519,BTN3A3,ENSG00000111801
6,26448617,26448637,+,MSTRG.28169,MSTRG.28169.7,,
6,26448617,26448637,+,MSTRG.28169,ENST00000483179,BTN3A3,ENSG00000111801
X,57290251,57290300,+,MSTRG.35033,MSTRG.35033.1,,
X,57290251,57290300,+,MSTRG.35033,MSTRG.35033.5,,
X,57290251,57290300,+,MSTRG.35033,MSTRG.35033.8,,
1,19600787,19600971,+,MSTRG.427,ENST00000486890,MINOS1,ENSG00000173436
1,19600787,19600971,+,MSTRG.427,MSTRG.427.11,,
1,19600787,19600971,+,MSTRG.427,ENST00000481464,MINOS1,ENSG00000173436
1,19600787,19600971,+,MSTRG.427,ENST00000602450,MINOS1-NBL1,ENSG00000270136
20,35658930,35659014,-,MSTRG.20955,MSTRG.20955.5,,
20,35658930,35659014,-,MSTRG.20955,MSTRG.20955.7,,
20,35658930,35659014,-,MSTRG.20955,MSTRG.20955.10,,
20,35658930,35659014,-,MSTRG.20955,MSTRG.20955.12,,
20,35658930,35659014,-,MSTRG.20955,MSTRG.20955.13,,
20,35658930,35659014,-,MSTRG.20955,ENST00000434795,CPNE1,ENSG00000214078
20,35658930,35659014,-,MSTRG.20955,ENST00000437100,CPNE1,ENSG00000214078
20,35658930,35659014,-,MSTRG.20955,ENST00000414711,CPNE1,ENSG00000214078
20,35658930,35659014,-,MSTRG.20955,ENST00000454607,AL109827.1,ENSG00000272897
20,35658930,35659014,-,MSTRG.20955,ENST00000441563,AL109827.1,ENSG00000272897
20,35658930,35659014,-,MSTRG.20955,ENST00000541176,AL109827.1,ENSG00000272897
20,35658930,35659014,-,MSTRG.20955,ENST00000374114,RBM12,ENSG00000244462
20,35658930,35659014,-,MSTRG.20955,ENST00000424458,RBM12,ENSG00000244462
20,35658930,35659014,-,MSTRG.20955,ENST00000435161,RBM12,ENSG00000244462
20,35658930,35659014,-,MSTRG.20955,ENST00000475146,CPNE1,ENSG00000214078
7,100113349,100113405,-,MSTRG.30753,ENST00000453269,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,ENST00000421980,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.3,,
7,100113349,100113405,-,MSTRG.30753,ENST00000472509,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,ENST00000452041,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,ENST00000344095,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,ENST00000437822,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.10,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.11,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.12,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.14,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.15,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.16,,
7,100113349,100113405,-,MSTRG.30753,MSTRG.30753.18,,
7,100113349,100113405,-,MSTRG.30753,ENST00000493322,TAF6,ENSG00000106290
7,100113349,100113405,-,MSTRG.30753,ENST00000523306,TAF6,ENSG00000106290
14,67663029,67663190,-,MSTRG.9965,MSTRG.9965.2,,
14,67663029,67663190,-,MSTRG.9965,ENST00000216456,VTI1B,ENSG00000100568
14,67663029,67663190,-,MSTRG.9965,ENST00000553306,AL049779.1,ENSG00000258466
15,85577763,85577871,+,MSTRG.11631,MSTRG.11631.5,,
15,85577763,85577871,+,MSTRG.11631,MSTRG.11631.9,,
15,85577763,85577871,+,MSTRG.11631,MSTRG.11631.10,,
15,85577763,85577871,+,MSTRG.11631,MSTRG.11631.11,,
15,85577763,85577871,+,MSTRG.11631,MSTRG.11631.14,,
8,56967110,56967218,-,MSTRG.32118,MSTRG.32118.1,,
