transcript_id,read_coverage,transcript_length
ENST00000000233.10,0.946705426356589,1032
ENST00000000412.8,0.966530612244898,2450
ENST00000000442.11,0.929639401934916,2274
ENST00000001008.6,0.560026917900404,3715
ENST00000001146.7,0.195566286215979,4556
ENST00000002125.9,0.639423076923077,2184
ENST00000002165.11,0.685744234800839,2385
ENST00000002501.11,0.983219844357977,2056
ENST00000002829.8,0.742168006653729,3607
ENST00000003100.13,0.959746434231379,3155
ENST00000003302.8,0.9591989719426,4669
ENST00000003912.7,0.165298303229338,5481
ENST00000004531.14,0.380026455026455,7560
ENST00000005082.13,0.90252350321623,2021
ENST00000005178.6,0.966120522077201,3601
ENST00000005226.12,0.666923788954026,3241
ENST00000005257.7,0.684965913168281,2787
ENST00000005259.9,0.409481277911371,2911
ENST00000005260.9,0.551440329218107,3645
ENST00000005286.8,0.28132183908046,3480
ENST00000005340.10,0.919872867179659,2989
ENST00000005374.10,0.534399224806202,1032
ENST00000005386.8,0.51463470845817,4339
ENST00000005995.8,0.95692025664528,1091
ENST00000006015.4,0.728737354814537,2669
ENST00000006251.11,0.855121675155631,1767
ENST00000006275.8,0.94472049689441,805
ENST00000006658.11,0.954062262718299,2634
ENST00000006777.11,0.97356188262638,1721
ENST00000007264.7,0.9609375,2048
ENST00000007390.3,0.929338842975207,1210
ENST00000007414.8,0.980349344978166,3664
ENST00000007516.8,0.912781954887218,665
ENST00000007708.7,0.367659395973154,2384
ENST00000007722.11,0.268076398362892,3665
ENST00000007969.12,0.394427244582043,1615
ENST00000008527.10,0.965182457315032,2987
ENST00000009041.12,0.876100998238403,1703
ENST00000009180.10,0.956734693877551,1225
ENST00000009589.8,0.917148362235067,519
ENST00000010132.6,0.446195652173913,1840
ENST00000010404.6,0.913984461709212,901
ENST00000011473.6,0.511048425011754,2127
ENST00000011619.6,0.883569739952719,3384
ENST00000011691.6,0.260659992584353,2697
ENST00000011700.10,0.223219983590118,10969
ENST00000011898.10,0.335955576122166,4322
ENST00000012049.10,0.521882352941176,2125
ENST00000012134.7,0.146488980010251,9755
ENST00000012443.9,0.928938756428238,2139
ENST00000013070.11,0.9779622209502,3494
ENST00000013125.9,0.623105190629306,4354
ENST00000013807.9,0.761345852895149,1278
ENST00000014914.6,0.342297174111212,6582
ENST00000014930.9,0.954270923209664,1159
